시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
한광미술관,사립,부산광역시 중구 중앙대로 130 한광빌딩 4층,,35.1090054,129.0352492,051-469-0095,한광미술관,,주차장,10:00,17:00,00:00,00:00,공휴일,0,0,0,,,,051-600-4066,부산광역시 중구,2017-10-20
청량산박물관,공립,경상북도 봉화군 명호면 광석길 39,경상북도 봉화군 명호면 1726-6,36.788172,128.893923,054-679-6672,청량산도립공원관리사무소,http://bonghwa.go.kr/open.content/mt/,전망대+휠체어+안내소,09:00,18:00,09:00,18:00,"""매주 월요일(단, 국공일 제외)""",0,0,0,0,"""청량산박물관은 2004-06-11일 개관하여 청량산을 배경으로 한 문화유산과 자연환경, 지역 홍보자료를 한 곳에 모아 전시함으로써 봉화의 역사와 문화에 대한이해는 물론, 지역전통문화의 계승발전과 군민 정서함양의 계기를 마련하고 청량산을 찾는 사람들에게 유익한 탐방문화를 제공하여 자연체험의 산 교육장으로 활용함과 아울러 지역의 새로운 관광명소를 조성하고자 건립하였다""","""봉화출발 일 4회, 안동(67번)출발 일 5회""",054-679-6672,경상북도 봉화군청,2017-10-31
충재박물관,공립,경상북도 봉화군 봉화읍 충재길 60,경상북도 봉화군 봉화읍 유곡리 934,36.9053101,128.7423901,054-674-0963,(사)닭실문화유적보존회,http://darsil.alltheway.kr,주차장,10:00,16:00,10:00,16:00,"""매주 월요일(단 설·추석 연휴, 법정공휴일 휴관)""",0,0,0,,"""2007년 개관한 충재박물관은 조선시대 유물 10,000여점과 484점의 보물을 소장한 박물관으로, 전통마을인 닭실마을(달실)에 위치하고 있다. 소장하고 있는 모든 유물은 이 마을의 종갓집 및 마을출신 자손들로부터 받은 것이다. 연간 20,000여 명의 관람객이 방문하고 있다. 주변문화재의 관리와 교육프로그램 등을 시행하면서 봉화지역의 박물관으로서의 역할을 다하고 있는 중이다.""","""버스: 봉화읍에서 춘양 및 재산방면 완행버스 이용, 택시 : 봉화버스정류장에서 약 6,000원 내외, 자가용 : 봉화버스정류장에서 7분 거리""",054-679-6331,경상북도 봉화군청,2017-10-31
한국최초 성경전래지 기념관,사립,충청남도 서천군 서면 서인로 89-12,충청남도 서천군 서면 마량리 137,36.131405,126.500519,041-951-1816,충청남도 서천군청,해당없음,전시실+카페테리아+다목적실+홍보영상관+예배실,10:00,17:00,10:00,17:00,해당없음,1000,500,300,"""단체어른:800원, 단체청소년:300원, 단체어린이200원""","""한국최초 성경전래지기념관은 영국해군 머레이 멕스웰(Murray Maxwell) 대령이 1816년 군함을 이끌고 서해안 탐사차 서천 마량진 해안에 들렸고 이때 한국 최초로 마량진 첨사 조대복에게 성경을 건네주었다는 기록이 사실로 밝혀지면서 서천군은 2004년 학계와 종교계의 고증을 거쳐 전래 사실을 재확인하고 기념비를 세우고 ’한국 최초 성경전래지 성역화사업‘의 일환으로 건립되었으며, 연면적 1,374㎡에 지하1층, 지상 4층 규모로 1층과 2층은 전시관으로 3층은 전망카페로 구성했고 4층은 다목적실로 꾸몄으며 인근에 기념공원 9,920㎡를 조성하였다.""",,041-950-4013,충청남도 서천군청,2017-09-30
월남이상재선생 전시관,사립,충청남도 서천군 한산면 종단길 71,충청남도 서천군 한산면 종지리 263,36.099882,126.806215,041-950-4225,충청남도 서천군청,http://tour.seocheon.go.kr/,야외 휴게정자,10:00,17:00,10:00,17:00,해당없음,0,0,0,0,"""이상재 선생 생가는 안채와 사랑채가 있는 초가집으로 앞면 4칸, 옆면 2칸 규모이며 대문은 솟을대문을 두었다. 중부지방의 전통적 농가 분위기를 그대로 간직하고 있어서 교육적 가치가 매우 높으며 전면 지붕의 길이가 후면보다 길게 만들어진 것이 특징이다. 생가 옆의 유물전시관은 1990년 11월 착공하여 1991년 7월에 개관하였으며, 선생이 생전에 남기신 유품들을 전시하고 있다.""",,041-950-4225,충청남도 서천군청,2017-09-30
외솔기념관,공립,울산광역시 중구 병영12길 15,울산광역시 중구 동동 613번지,37.518008,127.114457,052-290-4828,외솔기념관,,,09:00,18:00,09:00,18:00,"""매주 월요일 (단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관""",0,0,0,무료,외솔기념관은 외솔 최현배선생의 업적과 유품을 소장하고 있는 2010년 3월 23일에 개관한 공립박물관,"""버스:132,203,205""",052-290-3695,울산광역시 중구청,2017-10-16
울산대학교박물관,대학,울산광역시 남구 대학로 93 울산대학교,울산광역시 남구 무거동 665,35.542515,129.2574755,052-259-2635,울산대학교,museum.ulsan.ac.kr,,10:00,17:00,00:00,00:00,"""토,일,월,공휴일 휴관""",0,0,0,,울산대학교 박물관은 울산지역의 문화재관련 연구기관으로 1995년 12월 개관하였습니다(울산박물관 등록 제1호). 주로 선사시대와 매장문화재를 전문적으로 조사하는 지표·발굴조사 지정기관입니다.,"""일반버스 : 401, 427, 714 울산대학교 37호관(생활과학관) 앞 11호관(교수연구동) 4층""",052-259-2635,울산대학교,2017-10-01
울산박물관,공립,울산광역시 남구 두왕로 277,울산광역시 남구 신정동 1888,35.5271604,129.3086618,052-222-8501,울산광역시청,museum.ulsan.go.kr,,09:00,18:00,09:00,18:00,"""1월1일, 매주월요일""",0,0,0,,울산박물관은 2011년 6월 22일에 개관하였고 선사시대에서 현대에 이르기까지의 울산의 역사를 아우르는 종합적인 도시역사박물관입니다.,"""일반버스 : 205,225,405,415,453,504,507,527,715,744""",052-229-4783,울산광역시청,2017-10-01
장생포고래박물관,공립,울산광역시 남구 장생포고래로 244,울산광역시 남구 매암동 139-29,35.502841,129.380749,052-256-6301,울산광역시 남구 도시관리공단,www.whalecity.kr/whalemuseum,"""훨체어 2, 유모차 2""",09:30,18:00,09:30,18:00,"""설,추석 당일, 매주 월요일, 공휴일 다음날, 공휴일이 토요일, 일요일인 경우 또는 공휴일 다음날이 토요일인 경우 다음주 목요일""",2000,1500,1000,,"""옛 고래잡이 전진기지였던 장생포에 국내 유일의 고래박물관을 건립하여 1986년 포경이 금지된 이래 사라져가는 포경유물을 수집, 보존·전시하고 고래와 관련된 각종 정보를 제공함으로써 해양생태계 및 교육연구 체험공간을 제공하여 해양관광 자원으로 활용하고자 합니다.""",공업탑→여천오거리(직진)→신여천사거리(좌회전)→매암사거리(직진)→장생포고래박물관,052-226-5671,울산광역시 남구청,2017-10-01
한양여자대학교 미술관,대학,서울특별시 성동구 살곶이길 200,,37.5580179,127.046846,02-2290-2507,학교법인 한양학원,,,09:00,17:00,00:00,00:00,"""토요일, 일요일""",0,0,0,,,,02-2124-4188,서울특별시,2017-09-11
헬로우뮤지움 동네미술관,사립,서울특별시 성동구 금호로 72,,37.549721,127.0263106,02-3217-4222,헬로우뮤지움,,,10:00,17:00,00:00,00:00,"""월요일, 공휴일""",5000,5000,5000,,,,02-2124-4188,서울특별시,2017-09-11
한양대학교 박물관,대학,서울특별시 성동구 왕십리로 222,,37.5544649,127.0465971,02-2220-1394,학교법인 한양학원,,,10:00,17:00,00:00,00:00,"""일요일, 국경일, 공휴일""",0,0,0,,,,02-2124-4188,서울특별시,2017-09-11
수도박물관,공립,서울특별시 성동구 왕십리로27,,37.539697,127.0420438,02-3146-5921,수도박물관,,,10:00,20:00,10:00,19:00,"""매주 월요일, 1월1일, 설날 및 추석 당일""",0,0,0,,,,02-2124-4188,서울특별시,2017-09-11
청계천박물관,공립,서울특별시 성동구 청계천로 530,,37.5712267,127.034825,02-2286-3410,청계천박물관,,,09:00,19:00,09:00,19:00,"""1월1일, 매주 월요일""",0,0,0,,,,02-2124-4188,서울특별시,2017-09-11
교동아트미술관,사립,전라북도 전주시 완산구 경기전길89,,35.8154620,127.1511530,063-287-1245,교동아트미술관,http://www.gdart.co.kr/,,10:00,19:00,10:00,19:00,월요일,0,0,0,,,,063-287-1245,교동아트미술관,2017-09-18
전주미술관,사립,전라북도 전주시 완산구 기린대로 85 르윈호텔 B1,,35.8171560,127.1540040,063-283-8887,전주미술관,http://www.jeonjumuseum.com,,10:00,18:00,10:00,18:00,월요일,4000,2400,1800,,,,063-283-8887,전주미술관,2017-09-18
누벨벡미술관,사립,전라북도 전주시 완산구 홍산북로 29-5,,35.8178875,127.1049278,063-222-7235,누벨벡미술관,http://blog.naver.com/sheen1711/220916891261,,10:30,18:30,00:00,00:00,"""월요일, 공휴일""",0,0,0,,,,063-222-7235,누벨벡미술관,2017-09-18
예깊미술관,사립,전라북도 군산시 대학로 64 에이팩스 빌딩 2층,,35.9847780,126.7095940,063-911-2207,예깊미술관,http://www.yegip.co.kr/,,10:00,18:00,10:00,18:00,"""월요일, 일요일""",0,0,0,,,,063-911-2207,예깊미술관,2017-09-18
이당미술관,사립,전라북도 군산시 구영 6길 108번지,,35.9884040,126.7112500,063-446-5903,이당미술관,http://yidang.org/,,10:00,18:00,10:00,18:00,"""월요일, 화요일""",0,0,0,,,,063-446-5903,이당미술관,2017-09-18
익산예술의전당 미술관,공립,전라북도 익산시 동서로 490,,35.9519580,126.9878150,1577-0072,전라북도 익산시,http://arts.iksan.go.kr,카페+식당,09:00,22:00,09:00,22:00,"""매주월요일, 설날 및 추석당일, 행사 없는날, 1월1일""",0,0,0,,,,063-859-3317,익산예술의전당 미술관,2017-09-18
W미술관,사립,전라북도 익산시 어양동 동서로 504,,35.9555080,126.9842620,063-835-3033,W미술관,http://blog.naver.com/museumw,,10:00,18:00,10:00,18:00,월요일,0,0,0,,,,063-835-3033,W미술관,2017-09-18
정읍시립미술관,공립,전라북도 정읍시 시기 4길 7,,35.5523265,126.8614731,063-539-7114,전라북도 정읍시,http://jma.jeongeup.go.kr/,,10:00,18:00,10:00,18:00,월요일,0,0,0,,,,063-539-6420,정읍시립미술관,2017-09-18
수지미술관,사립,전라북도 남원시 수지면 물머리로 525,,35.3272580,127.3478100,063-631-1009,수지미술관,http://sujimuseum.com/,,10:00,18:00,10:00,18:00,월요일,3000,2000,2000,,,,063-631-1009,수지미술관,2017-09-18
예가람길 미술관,사립,전라북도 남원시 동헌길 84,,35.4077170,127.3810080,063-632-0080,예가람길 미술관,,,10:00,19:00,10:00,19:00,"""월요일, 일요일, 국경일""",0,0,0,,,,063-632-0080,예가람길 미술관,2017-09-18
전라북도도립미술관,공립,전라북도 완주군 구이면 모악산길 111-6,,35.7277090,127.1069390,063-280-2114,전라북도청,http://www.jma.go.kr,,10:00,18:00,10:00,18:00,"""월요일, 1월1일, 명절""",0,0,0,,,,063-290-6888,전라북도도립미술관,2017-09-18
전주전통술박물관,공립,전라북도 전주시 완산구 한지길 74,,35.8170501,127.1535397,063-287-6305,전주전통술박물관,http://urisul.net/,,09:00,18:00,09:00,18:00,연중무휴,0,0,0,,,,063-287-6305,전주전통술박물관,2017-09-18
VM(비주얼 미디어)아트 미술관,사립,전라북도 완주군 삼례읍 삼례역로 81-13,,35.9062419,127.0662406,070-8915-8123,VM(비주얼 미디어)아트 미술관,www.srartvil.kr,,10:00,18:00,10:00,18:00,"""1월1일, 월요일""",0,0,0,,,,070-8915-8123,VM(비주얼 미디어)아트 미술관,2017-09-18
최북미술관,공립,전라북도 무주군 무주읍 최북로 15,,36.0030223,127.6652920,063-320-2114,전라북도 무주군,http://tour.muju.go.kr/art/index.do,,09:00,18:00,09:00,18:00,"""1월1일, 월요일, 명절 당일""",0,0,0,,,,063-320-5636,최북미술관,2017-09-18
금구원야외조각미술관,사립,전라북도 부안군 변산면 조각공원길 31,,35.6206220,126.4888609,063-584-6770,금구원야외조각미술관,,,08:00,17:00,08:00,17:00,연중무휴,2000,2000,1000,,,,063-584-6774,금구원야외조각미술관,2017-09-18
휘목미술관,사립,전라북도 부안군 진서면 운호길 10,,35.5943974,126.5635292,063-584-0006,휘목미술관,http://www.hmarttown.com,,10:00,18:00,10:00,18:00,"""1월1일, 매월 첫번째 월요일""",0,0,0,,,,063-584-0006,휘목미술관,2017-09-18
국립전주박물관,공립,전라북도 전주시 완산구 쑥고개로 249,,35.8013325,127.0897170,063-223-5651,국립전주박물관,http://mjeonju.museum.go.kr,뮤지엄샵+문화사랑방+아기방+강당+세미나실+카페,10:00,18:00,10:00,18:00,"""1월1일, 설날, 추석날""",0,0,0,,,,063-223-5651,국립전주박물관,2017-09-18
미륵사지유물전시관,공립,전라북도 익산시 금마면 미륵사지로 362,,36.0115080,127.0286000,063-830-0900,미륵사지유물전시관,http://iksan.museum.go.kr,,10:00,18:00,10:00,18:00,"""1월1일, 설날, 추석, 매주 월요일""",0,0,0,,,,063-830-0900,미륵사지유물전시관,2017-09-18
전주역사박물관,공립,전라북도 전주시 완산구 쑥고개로 259,,35.8011595,127.0933583,063-228-6485,전주문화연구회,http://www.jeonjumuseum.org/,,09:00,18:00,09:00,18:00,"""1월1일, 월요일""",0,0,0,,,,063-222-1000,전라북도 전주시,2017-09-18
익산보석박물관,공립,전라북도 익산시 왕궁면 호반로 8,,35.9906601,127.1025892,063-859-4641,익산보석박물관,http://www.jewelmuseum.go.kr/,,10:00,18:00,10:00,18:00,"""1월1일, 월요일""",3000,2000,1000,,,,063-859-4641,익산보석박물관,2017-09-18
남원향토박물관,공립,전라북도 남원시 양림길 14-9,,35.4017971,127.3870909,063-620-6792,남원향토박물관,,,09:00,18:00,09:00,18:00,월요일,3000,2500,2000,,,,063-620-6792,남원향토박물관,2017-09-18
벽골제농경문화박물관,공립,전라북도 김제시 부량면 벽골제로 442,,35.7546256,126.8531044,063-540-4989,벽골제농경문화박물관,,,09:00,18:00,09:00,18:00,"""1월1일, 월요일""",0,0,0,,,,063-540-4989,벽골제농경문화박물관,2017-09-18
고창판소리박물관,공립,전라북도 고창군 고창읍 동리로 100,,35.4324321,126.7027174,063-560-8061,고창판소리박물관,http://pansorimuseum.gochang.go.kr/,,09:00,18:00,09:00,18:00,"""1월1일, 설날, 추석, 매주 월요일""",800,500,0,,,,063-560-8061,고창판소리박물관,2017-09-18
왕궁리유적전시관,공립,전라북도 익산시 왕궁면 궁성로 666,,35.9715881,127.0557217,063-859-4631,왕궁리유적전시관,http://www.iksan.go.kr/wg,,09:00,18:00,09:00,18:00,"""1월 1일, 월요일""",0,0,0,,,,063-859-4631,왕궁리유적전시관,2017-09-18
어진박물관,공립,전라북도 전주시 완산구 태조로 44,,35.8162368,127.1493531,063-231-0190,전주문화연구회,http://www.eojinmuseum.org/,,09:00,19:00,09:00,19:00,1월 1일,0,0,0,,,,063-222-1000,전라북도 전주시,2017-09-18
청자박물관,공립,전라북도 부안군 보안면 청자로 1493,,35.6114972,126.6513507,063-580-3964,청자박물관,http://www.buan.go.kr/buancela/index.buan,,10:00,18:00,10:00,18:00,"""1월 1일, 월요일, 추석, 설날""",3000,2000,1000,4D 영상실 3000원,,,063-580-3964,청자박물관,2017-09-18
군산근대역사박물관,공립,전라북도 군산시 해망로 240,,35.9908423,126.7120089,063-454-7870,군산근대역사박물관,http://museum.gunsan.go.kr,,09:00,18:00,09:00,18:00,1월 1일,3000,2000,1000,,,,063-454-7870,군산근대역사박물관,2017-09-18
동학농민혁명기념관,공립,전라북도 정읍시 덕천면 동학로 742,,35.6328630,126.8283102,063-536-1894,동학농민혁명기념관,http://www.1894.or.kr/main_kor/index.php,,09:00,18:00,09:00,18:00,"""1월 1일, 월요일""",0,0,0,,,,063-536-1894,동학농민혁명기념관,2017-09-18
전라북도산림박물관,공립,전라북도 순창군 복흥면 추령로 1777,,35.4771412,126.9257287,063-652-6792,전라북도산림박물관,http://jbfm.jb.go.kr/,,09:00,18:00,09:00,18:00,"""1월 1일, 월요일, 추석""",0,0,0,,,,063-652-6792,전라북도산림박물관,2017-09-18
진안역사박물관,공립,전라북도 진안군 진안읍 내사양길 7,,35.7724537,127.4167470,063-430-8086,진안역사박물관,http://www.jinanmuseum.kr/,,09:00,18:00,09:00,18:00,월요일,0,0,0,,,,063-430-8086,진안역사박물관,2017-09-18
익산 마한박물관,공립,전라북도 익산시 금마면 고도 9길 41-14,,36.0019572,127.0604036,063-859-4633,익산 마한박물관,http://www.iksan.go.kr/mahan/index.iksan,,09:00,18:00,09:00,18:00,"""1월 1일, 월요일""",0,0,0,,,,063-859-4633,익산 마한박물관,2017-09-18
정읍시립박물관,공립,전라북도 정읍시 내장산로 370-12,,35.5278764,126.8943986,063-539-6792,정읍시립박물관,http://museum.jeongeup.go.kr/,,09:00,18:00,09:00,18:00,"""월요일, 1월 1일(신정), 설날, 추석날""",0,0,0,,,,063-539-7114,전라북도 정읍시,2017-09-18
순창장류박물관,공립,전라북도 순창군 순창읍 장류로 43,,35.3696904,127.1109875,063-650-1627,순창장류박물관,,,09:00,18:00,09:00,18:00,"""1월 1일, 월요일""",0,0,0,,,,063-650-1629,전라북도 순창군,2017-09-18
원불교역사박물관,사립,전라북도 익산시 익산대로 501,,35.9744656,126.9516069,063-850-3240,원불교역사박물관,http://www.wonmuseum.net,,10:00,17:00,10:00,17:00,월요일,0,0,0,,,,063-850-3240,원불교역사박물관,2017-09-18
원숭이자연사박물관,사립,전라북도 부안군 상서면 부안로 1783,,35.6680960,126.6714060,063-584-0708,원숭이자연사박물관,http://www.monkeypark.co.kr,,10:00,18:00,10:00,18:00,무휴,7000,7000,7000,,,,063-584-0708,원숭이자연사박물관,2017-09-18
전주한지박물관,사립,전라북도 전주시 덕진구 팔복로 59,,35.8490333,127.1002406,063-210-8103,전주한지박물관,http://www.hanjimuseum.co.kr/,,09:00,17:00,09:00,17:00,"""월요일, 1월 1일, 설 연휴, 추석연휴""",0,0,0,,,,063-110-8103,전주한지박물관,2017-09-18
예수병원의학박물관,사립,전라북도 전주시 완산구 서원로 365,,35.8143917,127.1332292,063-230-8778,예수병원의학박물관,http://museum.jesushospital.com,,09:00,18:00,00:00,00:00,"""일요일, 월요일, 법정 공휴일""",0,0,0,,,,063-230-8778,예수병원의학박물관,2017-09-18
카메라영상박물관,사립,전라북도 완주군 소양면 신교응암길 14,,35.8530108,127.2065584,063-560-6600,카메라영상박물관,,,09:00,18:00,00:00,00:00,"""일요일, 월요일, 법정 공휴일""",0,0,0,,,,063-560-6600,카메라영상박물관,2017-09-18
연안이씨종중문적(보물651호)박물관,사립,전라북도 익산시 삼기면 기산리 332-1번지,,36.0252773,127.0162984,063-852-7277,연안이씨종중문적(보물651호)박물관,,,10:00,18:00,10:00,18:00,"""1월 1일, 월요일, 추석, 설""",3000,2000,1000,,,,063-852-7277,연안이씨종중문적(보물651호)박물관,2017-09-18
완주책박물관,사립,전라북도 완주군 삼례읍 후정리 247-1,,35.9061288,127.0661709,070-8915-8131,완주책박물관,http://www.srartvil.kr/index.9is?contentUid=ff8080813e5ec385013e5f16b934006d,,10:00,18:00,10:00,18:00,"""1월 1일, 월요일""",0,0,0,,,,070-8915-8131,완주책박물관,2017-09-18
전북대학교박물관,대학,전라북도 전주시 덕진구 백제대로 567,,35.8462574,127.1320049,063-270-3488,전북대학교박물관,http://museum.chonbuk.ac.kr/,,09:30,17:30,00:00,00:00,"""공휴일, 일요일, 개교기념일(10월 15일)""",0,0,0,,,,063-270-3488,전북대학교박물관,2017-09-18
전주대학교박물관,대학,전라북도 전주시 완산구 효자동3가 120,,35.8278271,127.0947355,063-220-2159,전주대학교박물관,http://museum.jeonju.ac.kr/,,09:00,17:00,00:00,00:00,"""주말, 공휴일""",0,0,0,,,,063-220-2159,전주대학교박물관,2017-09-18
군산대학교박물관,대학,전라북도 군산시 미룡동 1170,,35.9468638,126.6813489,063-469-4191,군산대학교박물관,http://museum.kunsan.ac.kr/,,10:00,17:00,00:00,00:00,"""주말, 공휴일""",0,0,0,,,,063-469-4191,군산대학교박물관,2017-09-18
원광대학교박물관,대학,전라북도 익산시 익산대로 460,,35.9678300,126.9557171,063-850-5482,원광대학교박물관,http://museum.wonkwang.ac.kr/,,10:00,16:00,00:00,00:00,"""주말, 공휴일, 방학기간""",0,0,0,,,,063-850-5482,원광대학교박물관,2017-09-18
신풍미술관,사립,경상북도 예천군 지보면 신풍1리길 50,경상북도 예천군 지보면 신풍리 114-2,36.53994783,128.4367743,054-653-9329,신풍미술관,http://www.sinpungartm.org/,"""주차장, 화장실 등""",10:00,17:00,10:00,17:00,"""매주 월요일, 1월1일, 추석, 설날""",2000,1000,1000,,신풍미술관은 2010년 7월 10일 개관,버스: 신풍1리 버스정류장(약250m),054-650-6902,경상북도 예천군청,2017-09-08
예천박물관,공립,경상북도 예천군 감천면 복골길 150,경상북도 예천군 감천면 포리 688,36.69977483,128.514395,054-650-8311,경상북도 예천군청,http://museum.ycg.kr/,"""주차장, 화장실 등""",09:00,18:00,09:00,18:00,"""매주 월요일, 1월1일, 추석, 설날""",0,0,0,,예천박물관은 2015년12월29일 등록,버스:감천 덕율삼거리(약1.43km),054-650-6395,경상북도 예천군청,2017-09-08
박물관수,사립,대구광역시 수성구 국채보상로186길 79,대구광역시 수성구 범어동 136-8,35.864878,128.634161,053-744-5500,박물관수,www.museumsoo.org,,10:00,17:00,10:00,17:00,"""매주 일요일, 설날, 추석""",5000,3000,2000,"""국가보훈대상자, 기초수급자 등 무료""",,,053-744-5500,박물관수,2017-07-04
대구은행금융박물관,사립,대구광역시 수성구 달구벌대로 2310,대구광역시 수성구 수성동2가 118,35.859121,128.614987,053-740-2061,대구은행,http://museum.dgb.co.kr,,00:00,00:00,00:00,00:00,현재 리모델링으로 휴관중(~2018년),0,0,0,,,,053-740-2061,대구은행,2017-07-04
국립대구박물관,국립,대구광역시 수성구 청호로 321,대구광역시 수성구 황금동 70,35.846114,128.638499,053-768-6051,국립대구박물관,daegu.museum.go.kr/,,10:00,18:00,10:00,19:00,"""1월 1일, 설날, 추석, 매주 월요일""",0,0,0,특별전시는 유료,,,053-768-6051,국립대구박물관,2017-07-04
성산패총(유물전시관),공립,경상남도 창원시 성산구 성산패총로 137,경상남도 창원시 성산구 외동 853-7,35.208106,128.679467,055-282-7270,창원시 성산구청,,,09:00,18:00,09:00,18:00,무휴,0,0,0,,,,055-272-4063,경상남도 창원시청,2017-06-08
대산미술관,사립,경상남도 창원시 의창구 대산면 유등로369번길 14-8,경상남도 창원시 의창구 대산면 유등리 294-22,35.345136,128.744090,055-291-5237,대산미술관,www.daesanart.com,,09:00,18:00,09:00,18:00,매주 월요일,1000,1000,1000,,,,055-291-5237,경상남도 창원시청,2017-06-08
웅천도요지전시관,공립,경상남도 창원시 진해구 두동로 236,경상남도 창원시 진해구 두동 24,35.127219,128.815108,055-225-6852,웅천도요지 전시관,http://ucdoyoji.changwon.go.kr:8080/main.do,,09:00,18:00,09:00,18:00,매주 월요일+설+추석당일,0,0,0,,"""웅천도요지 전시관은 경상남도 기념물 제 160호인 웅천도요지에 2011년 11월에 개관하였으며, 이 곳은 조선시대 분청사기와 백자 등을 제작하였던 가마터가 있는 곳으로 웅천지역 도자사를 전시하고 있는 공간임""","""두동 해오름아파트 앞 하자 305번, 315번, 757번, 159번""",055-225-6852,경상남도 창원시청,2017-06-08
창원시립진해박물관,공립,경상남도 창원시 진해구 중원동로 52,경상남도 창원시 진해구 제황산동 28-6,35.148601,128.663920,055-548-2053,창원시립진해박물관,http://korean.visitkorea.or.kr/kor/bz15/where/where_tour.jsp?cid=791089,,09:00,18:00,09:00,18:00,매주 월요일+설+추석당일,0,0,0,,"""진해박물관은 진해탑 내에 위치하고 있으며, 2016년 3월에 리모델링 공사를 통해 군항도시 진해의 역사를 살펴볼수 있는 문화공간임""",제황산공원 모노레일카 이용,055-225-3721,경상남도 창원시청,2017-06-08
마산문신미술관,공립,경상남도 창원시 마산합포구 문신길147(추산동),경상남도 창원시 마산합포구 추산동 51-1,35.206582,128.569060,055-225-7181,창원시립마산문신미술관,moonshin.changwon.go.kr,,09:00,18:00,09:00,18:00,매주 월요일+설+추석당일,0,0,0,,"""문신미술관은 기증이후 2004년 재 개관하여 소장품 3,983 보유중이며 기획전시, 미술상, 교육프로램을 운영하고 있는 문화공간임""","""자산약수터하차 105번, 254번, 265번, 707번""",055-225-7181,경상남도 창원시청,2017-06-08
창원시립마산박물관,공립,경상남도 창원시 마산합포구 문신길105(추산동),경상남도 창원시 마산합포구 추산동 54-36,35.205558,128.569165,055-225-7171,창원시립마산박물관,museum.changwon.go.kr,,09:00,18:00,09:00,18:00,매주 월요일+설+추석당일,0,0,0,,"""마산시립박물관은 2001년 9월 12에 개관하였으며, 현대화와 도시화로 사라져가는 문화유산을 수집.보관.전시.교육하는 문화공간임""","""자산약수터하차 105번, 254번, 265번, 707번""",055-225-7171,경상남도 창원시청,2017-06-08
옥천골미술관,공립,전라북도 순창군 순창읍 남계로 81,전라북도 순창군 순창읍 남계리 471,35.374249,127.145308,063-650-1638,순창군,www.artsunchang.com,,10:00,18:00,10:00,18:00,매주 월요일(특별개관일 별도공지),0,0,0,,순창군은 미술문화의 확산과 육성을 위해 양곡창고를 미술관으로 리모델링하여 문화향유와 순창을 찾는 일반대중이 쉬어갈수 있는 곳으로 순창만의 차별화된 미술관으로 전시관 뿐만아니라 교육시설을 갖추고 있어 현장체험위주의 공간확보 및 테마형 전시기획을 하여 옥천골미술관을 순창군의 문화공간으로 만들어가고 있다. 순창군은 미술문화의 확산과 육성을 위해 양곡창고를 미술관으로 리모델링하여 문화향유와 순창을 찾는 일반대중이 쉬어 갈수 있는 곳으로 순창만의 차별화된 미술관으로 전시관 뿐만아니라 교육시설을 갖추고 있어 현장체험위주의 공간확보 및 테마형 전시기획을 하여 옥천골미술관을 순창군의 문화공간으로 만들어가고 있다.,순창터미널+작은영화관 방향(도보 10분) ▷순창입구사거리→작은영화관→옥천골미술관,063-650-1638,순창군,2017-05-22
섬진강미술관,공립,전라북도 순창군 적성면 평남길 113,전라북도 순창군 적성면 평남리 458,35.426558,127.218925,063-653-2296,순창군,www.artsunchang.com,,10:00,18:00,10:00,18:00,매주 월요일(특별개관일 별도공지),0,0,0,,"""순창군은  천년의 고도 청정 순창, 유구한 역사를 자랑할 수 있을 만큼 그 어느 곳을 보아도 선사시대부터 터전을 잡고 청정 섬진강의 유역인 적성구남마을에 465㎡규모의 섬진강미술관을 개관하여 섬진강에 얽힌 농경 문화를 바탕으로 한 운영을 통해 전국 미술인들이 즐겨 찾는 미술관광 캠프로 운영 방침이다.""",순창버스터미널+적성평남마을+ 도보10분,063-653-2296,순창군,2017-05-22
